Sol,Filename,SCLCK,LTST,Ls_deg_,Comment,RMS_20_60,RMS_100_1000,Gustiness,MeanPressure,SD_Pressure,MeanTemp1,MeanTemp2,MeanTemp3,MeanCleanWS,MeanCleanWD,SD_CleanWS,SD_CleanWD,Incident_WD,GroundTemperature,TurbulentHeatFlux,Downwelling Flux
224,LS__0224_0686818404_899EA2__0072050SCAM15367_001_LUJ02.fits,686818218.835,10:45:58,109.152,Passive Atmospheric Recording,0.0002669498976585,0.0002050233548817,0.05889146325014221,671.218511904762,0.117486856856725,245.621369047619,235.490833333333,235.662916666667,3.3126875,236.5741875,1.39773793976927,22.7807469872688,-156.2845125,255.20668,6.65071821,16.493
225,LS__0225_0686913600_695EA2__0072050SCAM15367_001_LUJ02.fits,686913414.835,12:30:16,109.654,Passive Atmospheric Recording,0.015301132594666,0.0067923987922538,0.3230568686065342,663.540892857143,0.0779515461135208,241.333630952381,242.312857142857,247.563452380952,4.78898809523809,165.704047619048,3.2215768891262,35.7233667341709,132.845347619048,264.942139,16.159853,16.386
225,LS__0225_0686928547_750EA2__0072050SCAM15367_001_LUJ04.fits,686928361.91,16:32:44,109.733,Passive Atmospheric Recording,0.014183103168211,0.0041465269702821,0.20453755346039745,664.932738095238,0.0881730903927244,243.186071428571,244.570178571429,250.48255952381,6.67214285714286,121.598928571429,2.09296859421155,23.9295422117084,88.740228571429,252.313522,3.64603853,17.893
226,LS__0226_0687009862_765EA2__0072050SCAM15367_001_LUJ03.fits,687009676.835,14:31:52,110.162,Passive Atmospheric Recording,0.007509311459691,0.0008654804046646,0.14636965069918154,661.047976190476,0.0523296726465276,245.236309523809,247.126726190476,246.409702380952,5.95720238095238,62.5961309523809,1.27603095601669,21.8349381328225,29.7374309523809,266.542877,11.8526402,18.323
226,LS__0226_0687014567_911EA2__0072050SCAM15367_001_LUJ04.fits,687014382.02,15:48:11,110.187,Passive Atmospheric Recording,0.0036339271987993,0.0003443607920214,0.0855639002186161,662.10255952381,0.0351386820273911,244.795714285714,246.734761904762,253.636607142857,4.65565476190476,116.92005952381,1.04720708672743,18.0394835586361,84.06135952381,257.445312,5.28935957,18.071
231,LS__0231_0687446499_943EA2__0072050SCAM15367_001_LUJ03.fits,687446314.115,12:35:09,112.476,Passive Atmospheric Recording,0.0287879880835994,0.0142435777274392,0.3066146000979203,658.183035714286,0.0625578432076419,240.519523809524,240.94125,247.742321428571,7.76104294478528,136.878588957055,2.5608408181055,14.1922902856524,104.019888957055,265.576508,13.1645784,17.059
232,LS__0232_0687516318_792EA2__0072050SCAM15367_001_LUJ02.fits,687516132.93,07:27:47,112.848,Passive Atmospheric Recording,0.0002224121522274,0.0002057118659452,0.046241564874842156,676.244345238095,0.0376819320250384,210.800416666667,213.137202380952,224.201190476191,2.85655844155844,163.949675324675,1.07364468743757,10.8931158580321,131.090975324675,214.978912,0.997001588,11.364
232,LS__0232_0687531602_820EA2__0072050SCAM15367_001_LUJ02.fits,687531417.12,11:35:43,112.929,Passive Atmospheric Recording,0.0078645553441014,0.0011453356551603,0.17257318077202718,660.466666666667,0.0434399119255952,239.194464285714,239.687202380952,243.49625,5.01392857142857,125.772857142857,1.98357870373457,22.4072512360512,92.914157142857,260.423523,11.121129,16.332
232,LS__0232_0687560578_118EA2__0072050SCAM15367_001_LUJ02.fits,687560392.305,19:25:46,113.083,Passive Atmospheric Recording,0.0002178608306667,0.0002462434678331,0.01704238544402664,671.855833333333,0.0265234427247182,218.99994047619,222.225476190476,221.99630952381,,,,,,223.087112,1.62818861,15.368
233,LS__0233_0687608665_901EA2__0072050SCAM15367_001_LUJ03.fits,687608480.07,08:25:52,113.339,Passive Atmospheric Recording,0.0005005992278625,0.0002042089366704,0.04129853892708594,674.103095238095,0.0550008424644513,221.795476190476,221.447261904762,228.654880952381,3.19577380952381,126.222321428571,1.29523238939716,21.1589479938735,93.363621428571,227.854767,2.14696646,15.12
233,LS__0233_0687656798_195EA2__0072050SCAM15367_001_LUJ02.fits,687656612.365,21:26:41,113.595,Passive Atmospheric Recording,0.0002155944112464,0.0002341832905677,0.007976655324788319,663.725059523809,0.0557152407557044,212.321547619048,211.671130952381,211.623273809524,2.47910714285714,264.330773809524,0.268236267194603,8.21124284006213,-128.527926190476,216.176483,1.02534497,14.178
278,LS__0278_0691632506_913EA2__0080064SCAM05278_001_LUJ01.fits,691632321.09,16:22:40,135.388,Passive Atmospheric Recording,0.0050851599051399,0.0004308054578492,0.0671420896438244,631.564166666667,0.0861165945928511,245.57880952381,262.775773809524,246.470892857143,,,,,,256.661591,,15.938
281,LS__0281_0691910560_934EA2__0080410SCAM09281_001_LUJ01.fits,691910378.085,19:33:30,136.964,Passive Atmospheric Recording,0.0002411838601081,0.0002047097064157,0.0168360449805893,631.158928571429,0.0518292419056038,217.897797619048,219.644166666667,221.272321428571,1.40833333333333,302.405238095238,0.497763460967006,77.9212705769497,63.339238095238,213.13472,-0.147456184,14.767
287,LS__0287_0692392470_702EA2__0090000SCAM01287_001_LUJ01.fits,692392287.845,05:51:21,139.715,Passive Atmospheric Recording,0.0002085465359656,0.0002181430636044,0.01898133217410428,639.003452380952,0.0708628437830968,196.302738095238,202.169226190476,199.64869047619,0.842142857142857,200.591547619048,0.207237729372863,5.01719235702793,-29.137452380952,197.876953,0.184071153,12.269
289,LS__0289_0692598025_839EA2__0090000SCAM01289_001_LUJ01.fits,692597843.085,13:26:01,140.896,Passive Atmospheric Recording,0.0082535135959626,0.0029313415473549,0.18762573866517746,626.114642857143,0.07230915709764,249.19880952381,251.554226190476,247.486071428571,4.97511904761905,212.159107142857,1.67142629332145,62.9734816332906,-17.555892857143,282.205902,9.71542072,18.359
304,LS__0304_0693913181_435EA2__0090000SCAM01304_001_LUJ02.fits,693912998.6,09:01:22,148.556,Passive Atmospheric Recording,0.0028600710227078,0.0003855483169134,0.10054467628996164,633.671607142857,0.0692762443591299,226.215714285714,240.182083333333,230.185535714286,2.67476190476191,155.126428571429,0.828730327034825,20.5327291904131,-115.794571428571,253.953888,,14.035
308,LS__0308_0694283974_749EA2__0090000SCAM03308_001_LUJ01.fits,694283788.88,13:16:35,150.75,Passive Atmospheric Recording,0.0047680331003185,0.0003700794282425,0.09183985916053373,626.917083333333,0.0666149375155497,262.058095238095,253.562023809524,256.782083333333,5.55627450980392,69.0654248366013,2.87858675174234,36.3698372532089,108.665424836601,285.358032,13.3824844,18.97
309,LS__0309_0694351641_541EA2__0090000SCAM01309_001_LUJ01.fits,694351458.68,07:34:22,151.152,Passive Atmospheric Recording,0.0002751118823073,0.0001869269844061,0.018371382589279898,639.007261904762,0.0397402099713252,210.358273809524,230.695714285714,223.383333333333,0.687261904761905,182.514523809524,0.318528996190793,51.1013047375473,-47.173476190476,222.910828,3.08226466,9.818
310,LS__0310_0694454487_337EA2__0090000SCAM03310_001_LUJ01.fits,694454301.47,11:22:45,151.765,Passive Atmospheric Recording,0.001334636324645,0.0001871063039543,0.05536597530260289,623.452321428571,0.0697212002594013,247.038095238095,241.604345238095,242.487202380952,3.76517857142857,109.991607142857,2.09272391420726,45.7691248901485,154.250607142857,282.353973,15.5668736,15.131
316,LS__0316_0695010051_945EA2__0090000SCAM04316_001_LUJ01.fits,695009869.08,17:35:31,155.093,Passive Atmospheric Recording,0.0044755658480015,0.0005314605037874,0.10376152487802635,600.593988095238,0.0914889468861591,242.450416666667,243.031607142857,243.33619047619,,,,,,231.494659,,24.301
327,LS__0327_0695970107_820EA2__0090000SCAM05327_001_LUJ01.fits,695969921.965,13:10:00,160.932,Passive Atmospheric Recording,0.0040493301248316,0.0004804995467591,0.11073701859053942,,,,,,,,,,,283.45932,,24.519
331,LS__0331_0696337017_913EA2__0090082SCAM08331_001_LUJ02.fits,696336835.04,16:22:14,163.193,Passive Atmospheric Recording,0.0270356842399202,0.0112161377411231,0.17046486243547881,614.25755952381,0.0549849954907042,250.386369047619,250.006666666667,256.29,,,,,,248.994583,,30.522
335,LS__0335_0696700449_779EA2__0090276SCAM04335_001_LUJ01.fits,696700266.935,18:37:57,165.45,Passive Atmospheric Recording,0.0003847693952026,0.0001964514607803,0.0245355550687074,619.888095238095,0.0581135825791471,227.417321428571,229.051488095238,228.034226190476,,,,,,222.659653,,20.972
338,LS__0338_0696929804_037EA2__0090276SCAM01338_001_LUJ01.fits,696929621.085,08:38:36,166.882,Passive Atmospheric Recording,0.0032875038642013,0.00028358770754,0.11014833236308495,651.760714285714,0.0500726589262179,222.509047619048,223.790238095238,230.570595238095,,,,,,234.102341,,18.698
340,LS__0340_0697099960_366EA2__0090276SCAM01340_001_LUJ01.fits,697099777.525,06:38:55,167.949,Passive Atmospheric Recording,0.0002068799184154,0.000216547542331,0.03342649168901944,643.87630952381,0.124633880707172,202.112559523809,200.355892857143,199.780773809524,,,,,,201.980591,,12.51
340,LS__0340_0697112826_208EA2__0090276SCAM04340_001_LUJ01.fits,697112640.505,10:07:35,168.03,Passive Atmospheric Recording,0.0002766061610801,0.0002240039738869,,,,,,,,,,,,251.411942,,18.919
341,LS__0341_0697203595_537EA2__0091554SCAM01341_001_LUJ01.fits,697203412.665,10:40:06,168.601,Passive Atmospheric Recording,0.0046184324432033,0.0007548291916688,0.16278985950723032,631.949880952381,0.0832929186287619,247.698630952381,241.563214285714,246.45244047619,,,,,,276.307465,,19.828
344,LS__0344_0697483213_796EA2__0092982SCAM02344_001_LUJ02.fits,697483027.935,14:16:04,170.366,Passive Atmospheric Recording,0.0004534331671666,0.0002040860715671,0.03737705060858267,631.609285714286,0.0593636053403735,267.213690476191,260.235357142857,262.127261904762,,,,,,276.708282,,26.611
