LT(hr),Amp(Pa)
13.243,0.408
10.019,0.356
11.903,0.361
12.165,0.313
12.219,0.468
13.481,0.598
13.611,0.308
13.69,0.434
13.821,0.543
14.028,0.654
12.233,0.391
12.314,0.57
12.365,0.361
13.092,4.963
14.266,0.387
11.303,0.541
12.19,0.326
13.4,0.659
13.438,0.919
13.438,0.449
15.999,0.436
10.844,0.527
12.245,0.349
12.595,1.226
14.462,0.327
14.759,0.714
14.759,0.413
14.856,6.524
14.869,2.419
16.464,0.384
11.32,0.317
11.398,0.598
11.435,0.352
11.794,0.477
11.975,0.781
13.411,0.505
13.411,0.496
13.512,0.509
13.512,0.463
13.739,0.373
13.768,0.648
15.581,0.366
15.751,0.545
16.676,0.314
12.401,0.628
12.578,2.226
12.662,0.315
12.823,0.643
13.11,0.45
15.176,0.327
16.651,0.421
11.524,0.453
11.584,0.651
11.82,0.421
11.989,0.539
11.989,0.427
13.418,0.42
13.522,0.342
13.59,0.995
13.641,0.561
14.279,0.306
15.515,0.506
15.515,0.44
15.692,0.355
10.339,0.531
12.905,0.714
14.746,0.638
14.746,0.389
14.776,0.431
15.058,0.593
12.026,3.169
12.232,0.54
12.232,0.336
13.377,0.534
13.729,0.406
13.965,0.312
15.296,1.175
15.584,0.382
15.642,0.631
15.911,1.717
16.155,0.953
17.734,0.305
10.433,0.624
10.921,2.384
12.435,0.594
12.778,0.319
13.004,0.357
13.037,0.346
13.141,0.677
13.599,1.035
13.746,0.658
13.746,0.347
14.05,0.573
14.729,0.329
15.02,0.404
16.872,0.335
19.141,0.31
19.217,0.388
11.496,0.646
11.864,0.374
11.931,0.424
13.329,0.3
14.119,0.619
14.119,0.384
15.887,0.313
16.26,0.334
19.677,0.338
10.313,0.401
11.188,0.839
12.459,0.423
12.583,0.3
12.84,1.022
12.961,0.678
13.163,0.351
15.187,0.627
11.508,0.499
11.578,0.808
11.639,2.114
11.87,0.71
13.292,0.33
13.363,0.819
13.844,0.505
13.874,0.308
13.925,0.514
15.928,0.727
12.578,0.468
12.708,0.37
12.856,0.625
13.145,0.549
14.732,0.555
15.091,0.834
15.144,0.394
16.414,0.551
10.191,1.138
10.846,0.51
11.467,0.568
11.816,0.707
12.043,0.318
13.401,0.512
13.68,0.402
14.18,0.467
14.229,0.451
14.296,0.654
15.615,0.396
16.254,0.317
10.993,0.375
12.337,0.522
12.904,0.721
13.173,0.555
14.403,0.344
14.961,0.546
15.183,0.515
16.414,0.518
16.639,0.38
11.481,0.668
11.728,0.366
11.921,0.525
11.921,0.4
12.296,0.377
13.204,0.337
13.235,0.588
13.391,0.395
13.876,0.426
13.931,0.346
15.432,0.366
15.958,0.634
15.958,0.4
16.028,0.366
16.212,0.435
16.326,0.351
11.05,0.618
11.123,0.539
11.218,1.059
12.56,0.643
12.716,0.629
12.805,0.434
12.879,2.147
12.923,0.468
12.996,0.318
13.346,3.72
14.479,0.367
14.738,0.706
16.362,0.408
16.841,0.342
11.397,0.348
12.035,0.505
12.19,0.48
13.312,0.636
15.404,0.885
10.882,0.344
12.369,0.349
12.599,0.394
12.842,0.302
12.884,0.563
12.986,0.527
13.322,0.967
14.655,0.334
14.765,0.363
15.266,0.522
11.902,0.304
12.06,0.455
12.116,0.635
12.28,0.501
12.28,0.501
13.497,0.512
13.637,0.353
13.671,0.568
15.451,0.43
15.54,0.465
16.114,0.38
10.898,0.31
10.982,0.339
11.096,0.506
11.096,0.506
11.21,0.565
12.293,0.376
12.443,0.808
12.726,2.095
12.817,0.482
12.884,0.454
13.103,3.397
13.32,0.508
14.478,0.356
15.144,0.542
15.194,0.442
9.988,0.527
9.988,0.498
10.196,0.517
11.601,0.342
11.754,0.504
11.754,0.507
12.041,0.429
13.691,0.749
15.3,0.375
10.86,0.69
11.096,0.3
12.418,0.38
12.459,0.329
12.517,0.517
12.7,0.337
14.003,0.302
14.444,0.976
15.164,0.317
16.868,0.744
11.45,0.955
11.642,0.582
11.642,0.369
11.739,0.573
12.061,0.342
13.301,0.37
14.203,1.154
14.215,0.542
14.289,0.315
15.429,0.305
15.493,1.197
15.9,0.721
17.214,0.352
10.559,0.436
10.775,0.33
10.849,0.462
10.948,0.313
11.052,0.414
12.723,0.307
14.432,0.693
14.688,0.59
14.688,0.466
14.829,0.56
11.708,1.466
11.729,0.647
11.834,0.321
12.03,0.403
12.032,0.691
12.164,0.314
12.233,0.53
12.232,0.475
13.471,2.418
14.186,0.442
15.611,0.543
15.942,0.31
16.133,0.418
16.194,0.398
10.792,0.347
10.855,0.673
10.959,0.377
11.285,0.324
12.527,0.576
12.527,0.355
14.358,0.617
14.624,0.358
15.346,0.419
15.482,0.747
15.482,0.487
15.583,0.324
16.106,0.609
16.106,0.366
16.18,0.303
11.6,0.324
12.024,0.356
13.412,0.301
13.442,0.328
13.496,0.345
13.856,0.502
14.06,0.427
15.452,1.107
15.701,0.529
10.746,0.711
11.004,1.806
12.396,0.754
12.521,0.318
12.595,0.619
12.841,0.358
12.925,0.389
13.108,0.383
14.521,0.401
14.736,0.6
14.848,0.478
15.141,0.351
15.185,0.355
16.408,0.603
16.512,1.028
16.597,0.407
11.341,0.54
11.341,0.412
11.949,0.31
13.385,0.612
13.49,0.438
13.537,0.879
13.827,0.393
14.086,0.645
14.086,0.427
14.212,0.345
11.228,0.345
12.498,0.539
12.498,0.476
14.608,0.412
14.967,0.77
15.023,0.436
15.063,0.304
15.273,1.152
16.471,0.534
16.567,0.351
16.802,0.379
11.408,0.58
11.625,1.025
11.948,0.724
12.119,2.216
12.225,0.36
12.327,0.33
13.726,0.514
13.861,0.718
13.993,1.895
15.597,0.66
16.155,0.535
20.137,0.394
12.531,0.301
12.596,4.4
12.674,0.372
13.068,0.36
13.186,0.639
15.09,0.92
11.411,0.503
11.949,0.519
12.017,0.575
16.075,0.371
16.235,0.478
3.186,0.325
3.206,0.502
10.815,0.522
11.494,0.552
12.374,0.367
13.039,0.56
13.261,0.51
13.368,0.514
13.368,0.476
14.613,0.324
14.801,0.339
14.877,0.43
18.711,0.514
9.923,0.34
11.376,0.319
12.005,2.561
12.035,0.339
12.346,0.864
13.401,0.624
12.237,4.574
12.337,1.047
13.405,0.306
13.541,0.774
13.89,0.4
13.941,0.419
13.983,0.306
15.782,0.757
7.226,0.311
10.861,0.301
10.861,0.313
12.765,0.305
12.988,1.093
12.988,1.093
13.165,0.501
13.165,0.501
13.234,0.319
16.891,0.351
16.891,0.312
9.488,0.54
9.488,0.54
10.293,0.314
10.293,0.386
10.31,0.319
10.31,0.437
11.029,0.309
11.043,1.971
11.043,1.928
11.142,0.528
11.142,0.528
11.813,0.302
